"","X","Acres","Annual.Visitors","Visitors.by.Acres","Retail.Sales.Tax.Collected..Inflation.","Total.Retail.Sales..Inflation.","Retail.Square.Footage","Unemployment.Rate..Summit.","CPI","Total.Nearby.Housing","Annual.Income..Summit.","Annual.Income..Colorado.","Skiable.Green.Terrain","Skiable.Blue.Terrain","Skiable.Black.Terrain","Skiable.Double.Black.Terrain","Snowmaking.Acres","Breckenridge.Permanent.Residents","Breckenridge.Peak.Residents","Upper.Blue.Permanent.Residents","Upper.Blue.Peak.Residents","Summit.County.Permanent.Residents","Summit.County.Peak.Residents"
"X",1,0.82765317836991,0.933565925166573,0.490612725320039,0.868312995005518,0.884056184510779,0.567812605162918,0.276381734291091,0.996689912846959,0.980800999593705,0.960901493349912,0.69170426452594,-0.261116483933547,0.85059066230462,-0.959273530700215,-0.357548470967097,0.925987877053276,0.978605740025464,0.966898996458203,0.946081294654532,0.970728840452271,0.974314139271606,0.931703187788374
"Acres",0.82765317836991,1,0.843705214366226,0.0741234168116832,0.827461666413449,0.805140203054205,0.643480864775437,0.071390347624586,0.822514063258471,0.779346331472807,0.757309405351577,0.742220112888197,-0.542080299851861,0.511476862899865,-0.806702502499226,0.0775579460168959,0.80047082206132,0.804275530747555,0.696984336070648,0.729226260971048,0.739742547509408,0.766247936490988,0.710479123088593
"Annual.Visitors",0.933565925166573,0.843705214366226,1,0.595244519946545,0.910765562192055,0.899339890278325,0.488266409935702,0.0657933889179138,0.92295447165542,0.878839709549367,0.920654439343952,0.780988785500491,-0.22777631612191,0.761575993286957,-0.878546353030667,-0.303996961872928,0.894831677255466,0.881302923585046,0.852994841763316,0.888737917252838,0.89908944735905,0.916806191119895,0.874926391952513
"Visitors.by.Acres",0.490612725320039,0.0741234168116832,0.595244519946545,1,0.450752641087853,0.462496698804216,-0.0408309600054338,0.0338259725618627,0.48026401217205,0.458615958844228,0.572080951039976,0.335381645458507,0.367552254317204,0.632743059752459,-0.419642194522623,-0.655920545068385,0.453931513970666,0.426262380216691,0.53242256731763,0.548758771178054,0.553999851668676,0.546731699727934,0.551298311786807
"Retail.Sales.Tax.Collected..Inflation.",0.868312995005518,0.827461666413449,0.910765562192055,0.450752641087853,1,0.945221929547046,0.323561599758778,-0.156954976985422,0.859126675661811,0.79540042288334,0.900799522784855,0.878781373566539,-0.236327129896302,0.68712370654566,-0.824961058419027,-0.238482650145098,0.876300876778172,0.784684212783245,0.776046503800554,0.803178667350757,0.834724995574926,0.86143057707226,0.811360505144795
"Total.Retail.Sales..Inflation.",0.884056184510779,0.805140203054205,0.899339890278325,0.462496698804216,0.945221929547046,1,0.46993785294187,-0.0333707861472609,0.893998329521,0.801150830145295,0.925251057151159,0.777832610956864,-0.285420874138327,0.681113470569972,-0.817658376342693,-0.224798111530435,0.794451852495217,0.817831855335564,0.817159068328015,0.764937348853473,0.821323387331435,0.843380688098547,0.75583483507464
"Retail.Square.Footage",0.567812605162918,0.643480864775437,0.488266409935702,-0.0408309600054338,0.323561599758778,0.46993785294187,1,0.6164735262376,0.586005450688,0.52921133900764,0.40624122182786,0.171770350697824,-0.61779669157611,0.248092191766219,-0.522500782588649,0.235434490215564,0.379044979917224,0.667438024796841,0.484244812063645,0.393426117880351,0.413097023126478,0.412097816877509,0.334755440446352
"Unemployment.Rate..Summit.",0.276381734291091,0.071390347624586,0.0657933889179138,0.0338259725618627,-0.156954976985422,-0.0333707861472609,0.6164735262376,1,0.285638995868677,0.346743604247532,0.0896979381914613,-0.376731926087809,-0.159130879789831,0.265812456072912,-0.267274552623671,-0.122980836136586,0.107647573406948,0.4330887891839,0.341911381596643,0.216015391076908,0.223193871123314,0.173524936499718,0.182054470081649
"CPI",0.996689912846959,0.822514063258471,0.92295447165542,0.48026401217205,0.859126675661811,0.893998329521,0.586005450688,0.285638995868677,1,0.972467334038671,0.965302438301339,0.669180584693402,-0.290415811422547,0.833714728688526,-0.951985997518419,-0.332128128345006,0.898494924097133,0.973325049117179,0.969183145633051,0.929533454195024,0.961005877524574,0.964472094721065,0.910254650624143
"Total.Nearby.Housing",0.980800999593705,0.779346331472807,0.878839709549367,0.458615958844228,0.79540042288334,0.801150830145295,0.52921133900764,0.346743604247532,0.972467334038671,1,0.927071752990641,0.616543872521098,-0.206208929840445,0.885323343618305,-0.960765704279797,-0.420661790743556,0.922912474801819,0.974017548510051,0.9733530541104,0.967794847456558,0.977563940816291,0.976503956924282,0.954618518779032
